date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:58	61696/61696	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2010:30:10%20GMT	https://kodesolution.com/html/2022/edulerns-html/index.html	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/index.html	(from )
23:47:58	146/146	---M--	200	added ('OK')	text/plain	date:Sat,%2001%20Jul%202023%2005:31:58%20GMT	https://kodesolution.com/robots.txt		(from )
23:47:59	155845/155845	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2011:59:36%20GMT	https://kodesolution.com/html/2022/edulerns-html/css/bootstrap.min.css	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/css/bootstrap.min.css	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:00	30060/30060	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2011:59:36%20GMT	https://kodesolution.com/html/2022/edulerns-html/plugins/revolution/css/settings.css	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/plugins/revolution/css/settings.css	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:00	140793/140793	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2011:59:36%20GMT	https://kodesolution.com/html/2022/edulerns-html/plugins/revolution/css/layers.css	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/plugins/revolution/css/layers.css	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:00	59576/59576	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2011:59:36%20GMT	https://kodesolution.com/html/2022/edulerns-html/plugins/revolution/css/navigation.css	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/plugins/revolution/css/navigation.css	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:01	257026/257026	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Apr%202023%2016:32:35%20GMT	https://kodesolution.com/html/2022/edulerns-html/css/style.css	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/css/style.css	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:01	8294/8294	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2011:59:36%20GMT	https://kodesolution.com/html/2022/edulerns-html/css/responsive.css	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/css/responsive.css	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:01	5162/5162	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Dec%202022%2012:53:53%20GMT	https://kodesolution.com/html/2022/edulerns-html/images/favicon.png	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/images/favicon.png	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
23:48:02	3932/3932	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Nov%202022%2011:59:36%20GMT	https://kodesolution.com/html/2022/edulerns-html/images/logo.png	C:/My%20Web%20Sites/edu/kodesolution.com/html/2022/edulerns-html/images/logo.png	(from https://kodesolution.com/html/2022/edulerns-html/index.html)
